,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
5865,1,HARLEM-UPPER             ,08  RENTALS - ELEVATOR APARTMENTS           ,2091,48,D3,676 RIVERSIDE DRIVE                      ,10031,74,0,74,12000,102068,1911,32000000,2017-08-03
5938,1,HARLEM-UPPER             ,22  STORE BUILDINGS                         ,2068,43,K2,1893 AMSTERDAM AVENUE                    ,10032,0,1,1,2500,4200,1926,1500000,2017-06-29
5939,1,HARLEM-UPPER             ,22  STORE BUILDINGS                         ,2091,36,K1,3531-3539 BROADWAY                       ,10031,0,6,6,9992,10517,1926,0,2016-12-15
5940,1,HARLEM-UPPER             ,22  STORE BUILDINGS                         ,2101,58,K2,701 WEST 135 STREET                      ,10031,0,4,4,11873,19186,1926,1090101,2016-10-05
5941,1,HARLEM-UPPER             ,26  OTHER HOTELS                            ,2066,33,HR,828 ST NICHOLAS AVENUE                   ,10031,0,1,1,2200,9842,1926,3500000,2017-01-19
5942,1,HARLEM-UPPER             ,26  OTHER HOTELS                            ,2066,33,HR,828 ST NICHOLAS AVENUE                   ,10031,0,1,1,2200,9842,1926,0,2017-01-18
5943,1,HARLEM-UPPER             ,29  COMMERCIAL GARAGES                      ,2065,12,G1,457 WEST 150 STREET                      ,10031,0,2,2,4996,19200,1926,2600000,2017-01-18
5945,1,HARLEM-UPPER             ,30  WAREHOUSES                              ,2065,7,E7,465-471 150TH ST                         ,10031,0,1,1,7435,37165,1910,15600000,2017-06-30
5948,1,HARLEM-UPPER             ,37  RELIGIOUS FACILITIES                    ,2074,119,B1,513 WEST 142ND STREET                    ,10031,2,0,2,1599,3516,1926,2890000,2017-01-13
5949,1,HARLEM-WEST              ,01  ONE FAMILY DWELLINGS                    ,2071,141,A9,516 WEST 140TH STREET                    ,10031,1,0,1,1499,3904,1899,2260000,2016-10-19
5950,1,HARLEM-WEST              ,02  TWO FAMILY DWELLINGS                    ,2071,52,B9,52 HAMILTON PLACE                        ,10031,2,0,2,1088,3260,1899,1512500,2016-12-21
5951,1,HARLEM-WEST              ,07  RENTALS - WALKUP APARTMENTS             ,1967,73,C5,6 CONVENT AVENUE                         ,10027,10,0,10,846,1850,1926,1445000,2017-05-08
5952,1,HARLEM-WEST              ,07  RENTALS - WALKUP APARTMENTS             ,1967,173,C2,8 CONVENT AVENUE                         ,10027,6,0,6,799,1850,1926,1500000,2016-11-15
5953,1,HARLEM-WEST              ,07  RENTALS - WALKUP APARTMENTS             ,1987,31,C7,1484 AMSTERDAM AVENUE                    ,10031,28,2,30,4000,15929,1905,5900000,2017-09-05
5954,1,HARLEM-WEST              ,07  RENTALS - WALKUP APARTMENTS             ,2070,47,C1,526 WEST 139TH STREET                    ,10031,21,0,21,4996,17265,1910,6800000,2016-10-06
5955,1,HARLEM-WEST              ,07  RENTALS - WALKUP APARTMENTS             ,2071,21,C1,515 WEST 139 STREET                      ,10031,21,0,21,4996,17540,1910,6800000,2016-10-06
5956,1,HARLEM-WEST              ,08  RENTALS - ELEVATOR APARTMENTS           ,1988,127,D7,528 WEST 136 STREET                      ,10031,37,2,39,9992,41520,1926,14500000,2016-10-28
5957,1,HARLEM-WEST              ,08  RENTALS - ELEVATOR APARTMENTS           ,1999,36,D7,600 WEST 133RD STREET                    ,10027,50,5,55,10625,53340,1905,7630400,2017-07-06
5958,1,HARLEM-WEST              ,08  RENTALS - ELEVATOR APARTMENTS           ,2002,52,D1,606 WEST 137 STREET                      ,10031,26,0,26,6495,27810,1905,1540000,2016-11-16
5991,1,HARLEM-WEST              ,30  WAREHOUSES                              ,1969,5,E1,495 WEST 129TH STREET                    ,10027,0,1,1,11643,11579,1900,3450000,2017-06-05
5992,1,INWOOD                   ,01  ONE FAMILY DWELLINGS                    ,2215,510,A5,49 MARBLE HILL AVENUE                    ,10463,1,0,1,1219,1224,1920,635000,2017-08-18
5993,1,INWOOD                   ,01  ONE FAMILY DWELLINGS                    ,2215,510,A5,49 MARBLE HILL AVE                       ,10463,1,0,1,1219,1224,1920,307242,2016-11-02
5994,1,INWOOD                   ,02  TWO FAMILY DWELLINGS                    ,2215,520,B1,29 MARBLE HILL AVENUE                    ,10463,2,0,2,2558,3918,1925,0,2017-05-18
5996,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2215,193,C1,159 WEST 228TH STREET                    ,10463,21,0,21,3600,12670,1915,2110000,2017-07-18
5997,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2215,197,C7,151 WEST 228TH STREET                    ,10463,18,2,20,3475,14320,1915,3470000,2017-07-18
5998,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2215,530,C7,109 WEST 225TH STREET                    ,10463,9,1,10,3539,12600,1924,2085000,2017-04-06
5999,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2218,1,C1,569 ACADEMY STREET                       ,10034,25,0,25,3500,13265,1925,5700000,2017-07-11
6000,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,11,C1,109 SHERMAN AVENUE                       ,10034,25,0,25,8000,22805,1915,63600000,2016-12-14
6001,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,13,C1,113 SHERMAN AVENUE                       ,10034,25,0,25,8000,22805,1915,0,2016-12-14
6002,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,15,C1,117 SHERMAN AVENUE                       ,10034,25,0,25,8000,22805,1915,0,2016-12-14
6003,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,17,C1,121 SHERMAN AVENUE                       ,10034,25,0,25,8000,22805,1930,0,2016-12-14
6004,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,19,C1,125 SHERMAN AVENUE                       ,10034,25,0,25,8000,22805,1930,0,2016-12-14
6005,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,21,C1,129 SHERMAN AVENUE                       ,10034,25,0,25,8000,22805,1930,0,2016-12-14
6006,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,23,C7,133 SHERMAN AVENUE                       ,10034,37,2,39,8000,31688,1925,0,2016-12-14
6007,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,31,C1,48 POST AVENUE                           ,10034,29,0,29,6000,22320,1935,5832500,2017-01-24
6008,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,31,C1,48 POST AVENUE                           ,10034,29,0,29,6000,22320,1935,0,2017-01-24
6009,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,33,C1,38 POST AVENUE                           ,10034,26,0,26,7500,22615,1920,0,2016-12-14
6010,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,35,C1,34 POST AVENUE                           ,10034,25,0,25,7500,22615,1920,0,2016-12-14
6011,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,37,C1,30 POST AVENUE                           ,10034,25,0,25,7500,22615,1920,0,2016-12-14
6012,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,39,C1,26 POST AVENUE                           ,10034,25,0,25,7500,22615,1920,0,2016-12-14
6013,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2220,41,C1,22 POST AVENUE                           ,10034,25,0,25,7500,22615,1920,0,2016-12-14
6014,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2226,15,C4,125 VERMILYEA AVENUE                     ,10034,17,0,17,3750,12224,1910,2850000,2016-10-31
6015,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2234,5,C1,4848 BROADWAY                            ,10034,36,0,36,7550,24985,1924,10350000,2017-03-10
6016,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2234,36,C1,66 VERMILYEA AVENUE                      ,10034,50,0,50,11250,32345,1916,0,2016-12-14
6017,1,INWOOD                   ,07  RENTALS - WALKUP APARTMENTS             ,2250,78,C1,256 SEAMAN AVENUE                        ,10034,20,0,20,7000,19020,1926,6900000,2016-12-14
6018,1,INWOOD                   ,08  RENTALS - ELEVATOR APARTMENTS           ,2238,33,D9,4857 BROADWAY                            ,10034,28,1,29,7500,30122,2013,1,2017-08-09
6019,1,INWOOD                   ,08  RENTALS - ELEVATOR APARTMENTS           ,2242,26,D1,100 COOPER STREET                        ,10034,48,0,48,7500,30896,1930,12900000,2016-12-14
6020,1,INWOOD                   ,08  RENTALS - ELEVATOR APARTMENTS           ,2248,24,D1,139 PAYSON AVENUE                        ,10034,61,0,61,14375,61584,1927,19200000,2016-12-14
6021,1,INWOOD                   ,08  RENTALS - ELEVATOR APARTMENTS           ,2250,80,D1,254 SEAMAN AVENUE                        ,10034,60,1,61,13625,54261,1925,17700000,2016-10-20
6022,1,INWOOD                   ,08  RENTALS - ELEVATOR APARTMENTS           ,2250,80,D1,254 SEAMAN AVENUE                        ,10034,60,1,61,13625,54261,1925,0,2016-10-20
6102,1,INWOOD                   ,21  OFFICE BUILDINGS                        ,2213,1,O1,4055 10TH   AVENUE                       ,10034,0,1,1,33925,52625,2007,30578890,2017-09-11
6103,1,INWOOD                   ,22  STORE BUILDINGS                         ,2215,68,K1,164 WEST 225 STREET                      ,10463,0,2,2,7500,3200,1926,1062000,2016-12-15
6105,1,INWOOD                   ,29  COMMERCIAL GARAGES                      ,2199,11,G2,439 WEST 202 STREET                      ,10034,0,2,2,24875,7000,1973,1400000,2017-02-23
6106,1,INWOOD                   ,29  COMMERCIAL GARAGES                      ,2199,11,G2,439 WEST 202 STREET                      ,10034,0,2,2,24875,7000,1973,1827000,2016-11-07
6107,1,INWOOD                   ,29  COMMERCIAL GARAGES                      ,2228,32,G9,500 WEST 211TH STREET                    ,10034,0,1,1,6500,885,1960,0,2017-04-26
6108,1,JAVITS CENTER            ,02  TWO FAMILY DWELLINGS                    ,733,63,S2,448 WEST 36TH STREET                     ,10018,2,1,3,2469,4747,1910,6100000,2017-01-13
6109,1,JAVITS CENTER            ,07  RENTALS - WALKUP APARTMENTS             ,734,9,C4,445 WEST 36TH   STREET                   ,10018,24,0,24,2468,8214,1900,7950000,2016-10-28
6110,1,JAVITS CENTER            ,07  RENTALS - WALKUP APARTMENTS             ,735,31,C7,485 9 AVENUE                             ,10018,16,2,18,4776,11250,1900,0,2017-01-17
6111,1,JAVITS CENTER            ,07  RENTALS - WALKUP APARTMENTS             ,735,31,C7,485 9 AVENUE                             ,10018,16,2,18,4776,11250,1900,0,2016-12-20
6112,1,JAVITS CENTER            ,07  RENTALS - WALKUP APARTMENTS             ,736,39,C7,406 WEST 39TH STREET                     ,10018,9,1,10,2469,7720,1900,4840000,2017-03-09
6134,1,JAVITS CENTER            ,21  OFFICE BUILDINGS                        ,705,45,O5,504-514 WEST 34TH   STREET               ,10001,0,1,1,9875,11250,1900,124700000,2016-12-15
6135,1,JAVITS CENTER            ,21  OFFICE BUILDINGS                        ,708,48,O5,522 WEST 37TH   STREET                   ,10018,0,2,2,2468,6957,1910,5000000,2017-08-03
6136,1,JAVITS CENTER            ,21  OFFICE BUILDINGS                        ,708,48,O5,522 WEST 37TH   STREET                   ,10018,0,2,2,2468,6957,1910,0,2017-08-03
6137,1,JAVITS CENTER            ,21  OFFICE BUILDINGS                        ,708,48,O5,522 WEST 37TH   STREET                   ,10018,0,2,2,2468,6957,1910,0,2017-07-18
6138,1,JAVITS CENTER            ,21  OFFICE BUILDINGS                        ,731,70,O2,446 WEST 34TH   STREET                   ,10001,0,1,1,1975,7920,1968,9180000,2017-05-05
6139,1,JAVITS CENTER            ,21  OFFICE BUILDINGS                        ,732,36,O3,433-447 NINTH AVENUE                     ,10001,0,2,2,39779,350000,1962,330000000,2016-12-06
6140,1,JAVITS CENTER            ,23  LOFT BUILDINGS                          ,705,46,L9,516-520 WEST 34TH   STREET               ,10001,0,6,6,28637,265562,1910,5300000,2016-12-15
6141,1,JAVITS CENTER            ,26  OTHER HOTELS                            ,733,60,H3,442 WEST 36TH   STREET                   ,10018,0,1,1,2469,20344,1999,18500000,2016-10-28
6150,1,KIPS BAY                 ,02  TWO FAMILY DWELLINGS                    ,935,57,S2,304 EAST 30TH STREET                     ,10016,2,1,3,2107,2898,1899,5750000,2017-05-11
6151,1,KIPS BAY                 ,07  RENTALS - WALKUP APARTMENTS             ,924,4,C4,316 SECOND AVENUE                        ,10003,10,0,10,2167,5720,1910,6650000,2017-06-16
6152,1,KIPS BAY                 ,07  RENTALS - WALKUP APARTMENTS             ,939,27,C5,345 EAST 33RD STREET                     ,10016,18,0,18,2469,10625,1940,7200000,2017-07-31
6153,1,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,928,9,D6,321 EAST 22ND   STREET                   ,10010,115,1,116,14878,81500,1968,60928000,2017-08-31
6154,1,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,934,1,D6,460-520 2ND AVENUE                       ,10016,894,8,902,141836,829024,1975,620000000,2016-12-08
6155,1,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,935,53,D3,312 EAST 30TH   STREET                   ,10016,67,3,70,6164,47820,1986,52000000,2017-02-02
6156,1,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,945,23,D6,685 1 AVENUE                             ,10016,550,1,551,32364,814037,2016,0,2017-01-12
6194,1,KIPS BAY                 ,11A CONDO-RENTALS                           ,933,1201,RR,335 EAST 27TH   STREET                   ,10016,22,0,22,4725,7366,2014,0,2017-03-21
6466,1,KIPS BAY                 ,14  RENTALS - 4-10 UNIT                     ,935,60,S3,538 SECOND AVENUE                        ,10016,3,1,4,1515,3045,1910,0,2017-08-15
6507,1,KIPS BAY                 ,26  OTHER HOTELS                            ,929,38,H8,340 EAST 24TH   STREET                   ,10010,0,254,254,18344,157512,2015,174000000,2016-11-03
6508,1,KIPS BAY                 ,26  OTHER HOTELS                            ,929,38,H8,340 EAST 24TH   STREET                   ,10010,0,254,254,18344,157512,2015,0,2016-11-03
6511,1,KIPS BAY                 ,32  HOSPITAL AND HEALTH FACILITIES          ,923,26,I9,343 EAST 17TH   STREET                   ,10003,0,1,1,4078,1900,2000,13000000,2017-03-01
6512,1,KIPS BAY                 ,32  HOSPITAL AND HEALTH FACILITIES          ,923,31,I4,301 1 AVENUE                             ,10003,184,1,185,13248,146246,1969,46500000,2017-03-01
6513,1,KIPS BAY                 ,32  HOSPITAL AND HEALTH FACILITIES          ,923,35,I4,305 1 AVENUE                             ,10003,6,1,7,1840,4132,1910,27500000,2017-03-01
6514,1,KIPS BAY                 ,32  HOSPITAL AND HEALTH FACILITIES          ,923,36,I4,307 1 AVENUE                             ,10003,6,1,7,1840,4784,1910,0,2017-03-01
6515,1,KIPS BAY                 ,32  HOSPITAL AND HEALTH FACILITIES          ,923,37,I4,309 1 AVENUE                             ,10003,3,1,4,1840,4784,1950,0,2017-03-01
6516,1,KIPS BAY                 ,32  HOSPITAL AND HEALTH FACILITIES          ,923,38,I4,311 1 AVENUE                             ,10003,9,2,11,1840,7015,1950,0,2017-03-01
6517,1,KIPS BAY                 ,38  ASYLUMS AND HOMES                       ,928,15,N9,327 EAST 22ND   STREET                   ,10010,0,1,1,4938,12226,1910,12000000,2017-08-30
6518,1,KIPS BAY                 ,38  ASYLUMS AND HOMES                       ,928,15,N9,327 EAST 22ND   STREET                   ,10010,0,1,1,4938,12226,1910,14700000,2017-05-02
6523,1,LITTLE ITALY             ,01  ONE FAMILY DWELLINGS                    ,471,2,A4,2 CENTRE MARKET PLACE                    ,10013,1,0,1,1016,3700,1800,7090000,2017-03-09
6524,1,LITTLE ITALY             ,07  RENTALS - WALKUP APARTMENTS             ,480,1,C7,388 BROOME STREET                        ,10013,26,3,29,1792,14931,1900,15200000,2016-11-30
6525,1,LITTLE ITALY             ,07  RENTALS - WALKUP APARTMENTS             ,494,28,C7,223 MOTT STREET                          ,10012,18,2,20,2575,9170,1900,9500000,2017-04-12
6556,1,LITTLE ITALY             ,22  STORE BUILDINGS                         ,478,33,K4,166 BOWERY                               ,10012,2,2,4,2529,6875,1900,23500000,2017-06-06
6557,1,LITTLE ITALY             ,22  STORE BUILDINGS                         ,478,34,K4,164 BOWERY                               ,10012,3,1,4,2430,9484,1900,0,2017-06-06
6558,1,LITTLE ITALY             ,22  STORE BUILDINGS                         ,478,35,K4,162 BOWERY                               ,10012,3,1,4,2479,7020,1900,0,2017-06-06
6559,1,LITTLE ITALY             ,23  LOFT BUILDINGS                          ,479,40,L8,174 MOTT STREET                          ,10013,0,8,8,5677,32214,1920,11000000,2016-12-15
6560,1,LITTLE ITALY             ,37  RELIGIOUS FACILITIES                    ,480,40,M1,378 BROOME STREET                        ,10013,0,1,1,2635,6107,1920,7351000,2017-08-18
6563,1,LOWER EAST SIDE          ,01  ONE FAMILY DWELLINGS                    ,288,41,S1,515 GRAND STREET                         ,10002,1,1,2,765,1507,1910,0,2017-08-31
6564,1,LOWER EAST SIDE          ,02  TWO FAMILY DWELLINGS                    ,288,36,S2,527 GRAND STREET                         ,10002,2,1,3,1238,3714,1910,0,2017-02-14
6565,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,271,45,C4,223 MADISON STREET                       ,10002,19,2,21,2612,10230,1900,5060000,2017-06-23
6566,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,273,20,C7,197 MADISON STREET                       ,10002,20,4,24,2115,11321,1901,9200000,2017-08-03
6567,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,283,91,C7,115 DIVISION STREET                      ,10002,8,2,10,1605,7535,1900,4400000,2017-07-14
6568,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,297,24,C7,11 ESSEX STREET                          ,10002,22,2,24,2188,8506,1910,11400000,2017-08-15
6569,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,344,43,C1,118 RIDGE STREET                         ,10002,10,0,10,2125,9990,1900,9600000,2017-04-20
6570,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,350,1,C1,166 SUFFOLK STREET                       ,10002,19,0,19,1650,7425,1910,7550000,2016-12-20
6571,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,408,20,C4,67 LUDLOW STREET                         ,10002,21,1,22,2224,9694,1900,0,2017-05-09
6572,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,411,18,C7,101 STANTON STREET                       ,10002,15,4,19,2139,12168,1920,12900000,2017-06-08
6573,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,411,21,C7,153 LUDLOW STREET                        ,10002,20,2,22,2187,11000,1900,10000000,2017-06-07
6574,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,411,21,C7,153 LUDLOW STREET                        ,10002,20,2,22,2187,11000,1900,0,2017-03-23
6575,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,411,23,C4,151 LUDLOW STREET                        ,10002,8,2,10,2188,8421,1900,5500000,2017-06-07
6576,1,LOWER EAST SIDE          ,07  RENTALS - WALKUP APARTMENTS             ,422,57,C7,245 ELDRIDGE STREET                      ,10002,10,2,12,3700,14161,1900,0,2017-02-27
6577,1,LOWER EAST SIDE          ,08  RENTALS - ELEVATOR APARTMENTS           ,345,7,D1,164 ATTORNEY STREET                      ,10002,34,5,39,5000,23357,2014,0,2016-11-04
6578,1,LOWER EAST SIDE          ,08  RENTALS - ELEVATOR APARTMENTS           ,345,17,D1,331 EAST HOUSTON STREET                  ,10002,78,0,78,8000,57128,2014,61500000,2017-07-14
6579,1,LOWER EAST SIDE          ,08  RENTALS - ELEVATOR APARTMENTS           ,408,28,D6,324 GRAND STREET                         ,10002,20,2,22,4428,24410,2013,21200000,2017-02-01
6739,1,LOWER EAST SIDE          ,11A CONDO-RENTALS                           ,427,1202,RR,259 BOWERY                               ,10002,361,0,361,58110,373967,2003,0,2017-08-18
6806,1,LOWER EAST SIDE          ,14  RENTALS - 4-10 UNIT                     ,286,8,S3,223 HENRY STREET                         ,10002,3,1,4,2064,4432,1910,0,2016-11-28
6807,1,LOWER EAST SIDE          ,14  RENTALS - 4-10 UNIT                     ,299,32,S3,15 ORCHARD STREET                        ,10002,3,1,4,1000,4980,1900,5250000,2016-12-22
6808,1,LOWER EAST SIDE          ,14  RENTALS - 4-10 UNIT                     ,353,22,S4,125 RIVINGTON STREET                     ,10002,4,1,5,2533,11141,1920,0,2016-12-30
6820,1,LOWER EAST SIDE          ,21  OFFICE BUILDINGS                        ,294,7,O2,60 CANAL STREET                          ,10002,0,6,6,1624,9876,2014,0,2017-01-31
6821,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,298,10,K4,32 ORCHARD STREET                        ,10002,2,2,4,1625,4544,1900,6988000,2017-04-03
6822,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,345,1,K1,148-150 ATTORNEY STREET                  ,10002,0,1,1,1765,1750,1965,3800000,2017-01-19
6823,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,408,24,K2,330 GRAND STREET                         ,10002,0,10,10,2975,5338,1900,6000000,2017-07-13
6824,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,409,41,K1,92 LUDLOW STREET                         ,10002,0,1,1,3372,5930,1920,9000000,2016-11-30
6825,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,410,67,K4,108 DELANCEY STREET                      ,10002,0,1,1,2220,7520,1900,8000000,2017-02-02
6826,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,410,67,K4,108 DELANCEY STREET                      ,10002,0,1,1,2220,7520,1900,0,2017-02-02
6827,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,413,25,K4,298-300 GRAND STREET                     ,10002,0,3,3,2288,3826,1900,0,2016-11-30
6828,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,424,11,K4,171 BOWERY                               ,10002,3,1,4,2565,5696,1910,8700000,2017-06-14
6829,1,LOWER EAST SIDE          ,22  STORE BUILDINGS                         ,426,27,K2,201 CHRYSTIE STREET                      ,10002,0,1,1,2500,5000,1900,8000000,2017-03-24
6830,1,LOWER EAST SIDE          ,23  LOFT BUILDINGS                          ,274,1,L8,47 MONROE STREET                         ,10002,0,7,7,2500,12166,1900,9575000,2017-03-30
6831,1,LOWER EAST SIDE          ,23  LOFT BUILDINGS                          ,310,17,L8,349 GRAND STREET                         ,10002,0,1,1,1050,3823,1910,3600000,2016-10-14
6832,1,LOWER EAST SIDE          ,26  OTHER HOTELS                            ,411,41,H3,136 LUDLOW STREET                        ,10002,0,1,1,2003,13000,2007,15500000,2016-10-06
6833,1,LOWER EAST SIDE          ,26  OTHER HOTELS                            ,417,11,H3,151 EAST HOUSTON STREET                  ,10002,0,1,1,2182,14554,1900,16750000,2017-07-13
6835,1,LOWER EAST SIDE          ,32  HOSPITAL AND HEALTH FACILITIES          ,315,47,I5,232 EAST BROADWAY                        ,10002,0,3,3,5200,16128,1962,0,2016-10-27
6836,1,LOWER EAST SIDE          ,34  THEATRES                                ,422,49,J8,139 EAST HOUSTON STREET                  ,10002,0,1,1,7384,24800,2000,31500000,2017-05-17
6838,1,LOWER EAST SIDE          ,37  RELIGIOUS FACILITIES                    ,308,23,M9,49 ORCHARD STREET                        ,10002,0,2,2,2222,12438,1900,11350000,2016-12-08
6839,1,LOWER EAST SIDE          ,38  ASYLUMS AND HOMES                       ,315,45,N2,228 EAST BROADWAY                        ,10002,0,4,4,5225,44122,1932,0,2016-10-27
6855,1,MANHATTAN VALLEY         ,03  THREE FAMILY DWELLINGS                  ,1847,11,C0,317 WEST 112 STREET                      ,10026,3,0,3,1682,3333,1900,3075000,2017-03-20
6856,1,MANHATTAN VALLEY         ,03  THREE FAMILY DWELLINGS                  ,1847,34,C0,318 WEST 113TH STREET                    ,10026,3,0,3,1682,3200,1905,2776995,2017-09-01
6859,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1836,20,C4,4 MANHATTAN AVENUE                       ,10025,36,0,36,3550,14268,1900,2350000,2017-03-23
6860,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1837,26,C4,5 WEST 101 STREET                        ,10025,20,0,20,3835,12805,1930,10350000,2017-01-17
6861,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1842,21,C4,21 WEST 106 STREET                       ,10025,20,0,20,3028,11390,1920,9400000,2017-01-31
6862,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1842,62,C7,953 COLUMBUS AVENUE                      ,10025,10,2,12,1875,7540,1900,4554000,2017-08-17
6863,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1843,1,C7,961 COLUMBUS AVENUE                      ,10025,14,1,15,2517,12215,1917,7595000,2017-05-16
6864,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1843,29,C5,471 CENTRAL PARK WEST                    ,10025,37,0,37,4092,17625,1941,0,2017-08-10
6865,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1843,31,C4,472 CENTRAL PARK WEST                    ,10025,15,0,15,2400,8920,1941,0,2017-08-10
6866,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1843,32,C5,473 CENTRAL PARK WEST                    ,10025,19,0,19,2400,8685,1941,0,2017-08-10
6867,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1843,34,C5,475 CENTRAL PARK WEST                    ,10025,56,0,56,7200,26645,1913,0,2017-08-10
6868,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1844,20,C1,12-22 WEST 109TH STREET                  ,10025,181,0,181,23251,112493,1890,10,2017-01-23
6869,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1844,20,C1,12-22 WEST 109TH STREET                  ,10025,181,0,181,23251,112493,1890,10,2017-01-23
6870,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1845,58,C1,354 CATHEDRAL PARKWAY                    ,10025,30,0,30,5229,20412,1925,17000000,2016-10-07
6871,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1846,37,C4,309 WEST 111TH STREET                    ,10026,15,0,15,3364,12310,1910,0,2017-02-24
6872,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1846,37,C4,309 WEST 111 STREET                      ,10026,15,0,15,3364,12310,1910,8600000,2017-01-03
6873,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1846,42,C7,2049 FREDRICK DOUGLASS BL                ,10026,13,1,14,2550,11708,1900,0,2017-03-15
6874,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1846,43,C7,2051 FREDRICK DOUGLASS BL                ,10026,13,1,14,2517,9396,1900,0,2017-03-15
6875,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1847,7,C5,325 W 112TH STREET                       ,10026,12,0,12,1682,3332,1900,2200000,2017-08-21
6876,1,MANHATTAN VALLEY         ,07  RENTALS - WALKUP APARTMENTS             ,1847,61,C4,302 WEST 114 STREET                      ,10026,20,0,20,2624,8915,1900,7150000,2017-08-25
